id,name
667,Personnel Officer
668,Pest Controller
669,Pet Minder
670,Pharmacist
671,Philatelist
672,Photographer
673,Physician
674,Physicist
675,Physiologist
676,Physiotherapist
677,Piano Teacher
678,Piano Tuner
679,Picture Editor
680,Picture Framer
681,Picture Reseacher
682,Pig Man
683,Pig Manager
684,Pilot
685,Pipe Fitter
686,Pipe Inspector
687,Pipe Insulator
688,Pipe Layer
689,Planning Engineer
690,Planning Manager
691,Planning Officer
692,Planning Technician
693,Plant Attendant
694,Plant Driver
695,Plant Engineer
696,Plant Fitter
697,Plant Manager
698,Plant Operator
699,Plasterer
700,Plastics Consultant
701,Plastics Engineer
702,Plate Layer
703,Plater
704,Playgroup Assistant
705,Playgroup Leader
706,Plumber
707,Podiatrist
708,Police Officer
709,Polisher
710,Pool Attendant
711,Pools Collector
712,Porter
713,Portfolio Manager
714,Post Sorter
715,Postman
716,Postmaster
717,Postwoman
718,Potter
719,Practice Manager
720,Preacher
721,Precision Engineer
722,Premises
723,Premises Security
724,Press Officer
725,Press Operator
726,Press Setter
727,Presser
728,Priest
729,Print Finisher
730,Printer
731,Prison Chaplain
732,Prison Officer
733,Private Investigator
734,Probation Officer
735,Probation Worker
736,Procurator Fiscal
737,Produce Supervisor
738,Producer
739,Product Installer
740,Product Manager
741,Production Engineer
742,Production Hand
743,Production Manager
744,Production Planner
745,Professional Boxer
746,Professional Racing
747,Professional Wrestler
748,Progress Chaser
749,Progress Clerk
750,Project Co-ordinator
751,Project Engineer
752,Project Leader
753,Project Manager
754,Project Worker
755,Projectionist
756,Promoter
757,Proof Reader
758,Property Buyer
759,Property Dealer
760,Property Developer
761,Property Manager
762,Property Valuer
763,Proprietor
764,Psychiatrist
765,Psychoanalyst
766,Psychologist
767,Psychotherapist
768,Public House Manager
769,Public Relations Of?cer
770,Publican
771,Publicity Manager
772,Publisher
773,Publishing Manager
774,Purchase Clerk
775,Purchase Ledger Clerk
776,Purchasing Assistant
777,Purchasing Manager
778,Purser
779,Quality Controller
780,Quality Engineer
781,Quality Inspector
782,Quality Manager
783,Quality Technician
784,Quantity Surveyor
785,Quarry Worker
786,Racehorse Groom
787,Racing Organiser
788,Radio Controller
789,Radio Director
790,Radio Engineer
791,Radio Operator
792,Radio Presenter
793,Radio Producer
794,Radiographer
795,Radiologist
796,Rally Driver
797,Receptionist
798,Recorder
799,Records Supervisor
800,Recovery Vehicle Coordinator
801,Recreational
802,Recruitment Consultant
803,Rector
804,Reflexologist
805,Refractory Engineer
806,Refrigeration Engineer
807,Refuse Collector
808,Registrar
809,Regulator
810,Relocation Agent
811,Remedial Therapist
812,Rent Collector
813,Rent Offcer
814,Repair Man
815,Repairer
816,Reporter
817,Representative
818,Reprographic Assistant
819,Research Analyst
820,Research Consultant
821,Research Director
822,Research Scientist
823,Research Technician
824,Researcher
825,Resin Caster
826,Restaurant Manager
827,Restaurateur
828,Restorer
829,Retired
830,Revenue Clerk
831,Revenue Officer
832,Riding Instructor
833,Rig Worker
834,Rigger
835,Riveter
836,Road Safety Officer
837,Road Sweeper
838,Road Worker
839,Roadworker
840,Roof Tiler
841,Roofer
842,Rose Grower
843,Royal Marine
844,Rug Maker
845,Saddler
846,Safety Officer
847,Sail Maker
848,Sales Administrator
849,Sales Assistant
850,Sales Director
851,Sales Engineer
852,Sales Executive
853,Sales Manager
854,Sales Representative
855,Sales Support
856,Salesman
857,Saleswoman
858,Sand Blaster
859,Saw Miller
860,Scaffolder
861,School Crossing
862,School Inspector
863,Scientific Officer
864,Scientist
865,Scrap Dealer
866,Screen Printer
867,Screen Writer
868,Script Writer
869,Sculptor
870,Seaman
871,Seamstress
872,Secretary
873,Security Consultant
874,Security Controller
875,Security Guard
876,Security Officer
877,Servant
878,Service Engineer
879,Service Manager
880,Share Dealer
881,Sheet Metal Worker
882,Shelf Filler
883,Shelter Warden
884,Shepherd
885,Sheriff
886,Sheriff Clerk
887,Sheriff Principal
888,Shift Controller
889,Ship Broker
890,Ship Builder
891,Shipping Clerk
892,Shipping Officer
893,Shipwright
894,Shipyard Worker
895,Shoe Maker
896,Shoe Repairer
897,Shooting Instructor
898,Shop Assistant
899,Shop Fitter
900,Shop Keeper
901,Shop Manager
902,Shop Proprietor
903,Shot Blaster
904,Show Jumper
905,Showman
906,Shunter
907,Sign Maker
908,Signalman
909,Signwriter
910,Site Agent
911,Site Engineer
912,Skipper
913,Slater
914,Slaughterman
915,Smallholder
916,Social Worker
917,Software Consultant
918,Software Engineer
919,Soldier
920,Solicitor
921,Song Writer
922,Sound Artist
923,Sound Engineer
924,Sound Technician
925,Special Constable
926,Special Needs
927,Speech Therapist
928,Sports Administrator
929,Sports Coach
930,Sports Commentator
931,Sportsman
932,Sportsperson
933,Sportswoman
934,Spring Maker
935,Stable Hand
936,Staff Nurse
937,Stage Director
938,Stage Hand
939,Stage Manager
940,Stage Mover
941,Station Manager
942,Stationer
943,Statistician
944,Steel Erector
945,Steel Worker
946,Steeplejack
947,Stenographer
948,Steward
949,Stewardess
950,Stock Controller
951,Stock Manager
952,Stockbroker
953,Stockman
954,Stocktaker
955,Stone Cutter
956,Stone Sawyer
957,Stonemason
958,Store Detective
959,Storeman
960,Storewoman
961,Street Entertainer
962,Street Trader
963,Stud Hand
964,Student
965,Student Nurse
966,Student Teacher
967,Studio Manager
968,Sub-Postmaster
969,Sub-Postmistress
970,Supervisor
971,Supply Teacher
972,Surgeon
973,Surveyor
974,Systems Analyst
975,Systems Engineer
976,Systems Manager
977,TV Editor
978,Tachograph Analyst
979,Tacker
980,Tailor
981,Tank Farm Operative
982,Tanker Driver
983,Tanner
984,Tattooist
985,Tax Advisor
986,Tax Analyst
987,Tax Assistant
988,Tax Consultant
989,Tax Inspector
990,Tax Manager
991,Tax Officer
992,Taxi Controller
993,Taxi Driver
994,Taxidermist
995,Tea Blender
996,Tea Taster
997,Teacher
998,Teachers Assistant
999,Technical Advisor
1000,Technical Analyst
1001,Technical Assistant
1002,Technical Author
1003,Technical Clerk
1004,Technical Co-ordinator
1005,Technical Director
1006,Technical Editor
1007,Technical Engineer
1008,Technical Illustrator
1009,Technical Instructor
1010,Technical Liaison
1011,Technical Manager
1012,Technician
1013,Telecommunication
1014,Telecommunications
1015,Telegraphist
1016,Telemarketeer
1017,Telephone Engineer
1018,Telephonist
1019,Telesales Person
1020,Television Director
1021,Television Engineer
1022,Television Presenter
1023,Television Producer
1024,Telex Operator
1025,Temperature Time
1026,Tennis Coach
1027,Textile Consultant
1028,Textile Engineer
1029,Textile Technician
1030,Textile Worker
1031,Thatcher
1032,Theatre Manager
1033,Theatre Technician
1034,Theatrical Agent
1035,Therapist
1036,Thermal Engineer
1037,Thermal Insulator
1038,Ticket Agent
1039,Ticket Inspector
1040,Tiler
1041,Timber Inspector
1042,Timber Worker
1043,Tobacconist
1044,Toll Collector
1045,Tool Maker
1046,Tour Agent
1047,Tour Guide
1048,Town Clerk
1049,Town Planner
1050,Toy Maker
1051,Toy Trader
1052,Track Worker
1053,Tractor Driver
1054,Tractor Mechanic
1055,Trade Mark Agent
1056,Trade Union Official
1057,Trading Standards
1058,Traffic Warden
1059,Train Driver
1060,Trainee Manager
1061,Training Advisor
1062,Training Assistant
1063,Training Co-ordinator
1064,Training Consultant
1065,Training Instructor
1066,Training Manager
1067,Training Officer
1068,Transcriber
1069,Translator
1070,Transport Clerk
1071,Transport Consultant
1072,Transport Controller
1073,Transport Engineer
1074,Transport Manager
1075,Transport Officer
1076,Transport Planner
1077,Travel Agent
1078,Travel Clerk
1079,Travel Consultant
1080,Travel Courier
1081,Travel Guide
1082,Travel Guide Writer
1083,Travel Representative
1084,Travelling Showman
1085,Treasurer
1086,Tree Feller
1087,Tree Surgeon
1088,Trichologist
1089,Trinity House Pilot
1090,Trout Farmer
1091,Tug Skipper
1092,Tunneller
1093,Turf Accountant
1094,Turkey Farmer
1095,Turner
1096,Tutor
1097,Typesetter
1098,Typewriter Engineer
1099,Typist
1100,Tyre Builder
1101,Tyre Fitter
1102,Tyre Inspector
1103,Tyre Technician
1104,Undertaker
1105,Underwriter
1106,Upholsterer
1107,Valuer
1108,Valve Technician
1109,Van Driver
1110,Vehicle Assessor
1111,Vehicle Body Worker
1112,Vehicle Engineer
1113,Vehicle Technician
1114,Ventriloquist
1115,Verger
1116,Veterinary Surgeon
1117,Vicar
1118,Video Artist
1119,Violin Maker
1120,Violinist
1121,Voluntary Worker
1122,Wages Clerk
1123,Waiter
1124,Waitress
1125,Warden
1126,Warehouse Manager
1127,Warehouseman
1128,Warehousewoman
1129,Watchmaker
1130,Weaver
1131,Weighbridge Clerk
1132,Weighbridge Operator
1133,Welder
1134,Welfare Assistant
1135,Welfare Officer
1136,Welfare Rights Officer
1137,Wheel Clamper
1138,Wholesale Newspaper
1139,Window Cleaner
1140,Window Dresser
1141,Windscreen Fitter
1142,Wine Merchant
1143,Wood Carver
1144,Wood Cutter
1145,Wood Worker
1146,Word Processing Operator
1147,Works Manager
1148,Writer
1149,Yacht Master
1150,Yard Manager
1151,Youth Hostel Warden
1152,Youth Worker
1153,Zoo Keeper
1154,Zoo Manager
1155,Zoologist
